Domen | Tugash muddati | Status
qn.uz | 06-Aug-2026 | ACTIVE
qo.uz | 06-Aug-2026 | ACTIVE
qp.uz | 12-Jul-2026 | ACTIVE
qq.uz | 30-Dec-2026 | ACTIVE
qr.uz | 08-Oct-2028 | ACTIVE
qs.uz | 09-Jul-2026 | ACTIVE
qt.uz | 06-Aug-2026 | ACTIVE
qu.uz | 06-Aug-2026 | ACTIVE
qv.uz | 09-Jul-2026 | ACTIVE
qw.uz | 19-Aug-2026 | ACTIVE
qx.uz | 21-Jul-2026 | ACTIVE
qy.uz | 19-Aug-2026 | ACTIVE
qz.uz | 09-Jul-2026 | ACTIVE
q0.uz | 27-Jul-2026 | ACTIVE
q1.uz | 09-Aug-2026 | ACTIVE
q2.uz | 06-Dec-2026 | ACTIVE
q3.uz | 27-Jul-2026 | ACTIVE
q4.uz | 27-Jul-2026 | ACTIVE
q5.uz | 27-Jul-2026 | ACTIVE
q6.uz | 27-Jul-2026 | ACTIVE
q7.uz | 27-Jul-2026 | ACTIVE
q8.uz | 27-Jul-2026 | ACTIVE
q9.uz | 27-Jul-2026 | ACTIVE
ra.uz | 12-Jun-2026 | ACTIVE
rb.uz | 07-Oct-2026 | ACTIVE
rc.uz | 07-Oct-2026 | ACTIVE
rd.uz | 08-Jun-2026 | ACTIVE
re.uz | 30-Jun-2026 | ACTIVE
rf.uz | 12-Feb-2027 | ACTIVE
rg.uz | 07-Oct-2026 | ACTIVE
rh.uz | 29-Jan-2027 | ACTIVE
ri.uz | 09-Jul-2026 | ACTIVE
rj.uz | 09-Jul-2026 | ACTIVE
rk.uz | 16-Mar-2026 | ACTIVE
rl.uz | 12-Mar-2026 | ACTIVE
rm.uz | 07-Oct-2026 | ACTIVE
rn.uz | 07-Oct-2026 | ACTIVE
ro.uz | 30-Oct-2026 | ACTIVE
rp.uz | 07-Oct-2026 | ACTIVE
rq.uz | 07-Sep-2026 | ACTIVE
rr.uz | 27-Oct-2026 | ACTIVE
rs.uz | 20-Nov-2026 | ACTIVE
rt.uz | 07-Oct-2026 | ACTIVE
ru.uz | - | RESERVED
rv.uz | 30-Jan-2027 | ACTIVE
rw.uz | 21-Jul-2026 | ACTIVE
rx.uz | 21-Jul-2026 | ACTIVE
ry.uz | 06-Aug-2026 | ACTIVE
rz.uz | 09-Jul-2026 | ACTIVE
r0.uz | 27-Jul-2026 | ACTIVE
r1.uz | 18-Apr-2026 | ACTIVE
r2.uz | 14-Oct-2026 | ACTIVE
r3.uz | 01-Jun-2026 | ACTIVE
r4.uz | 27-Jul-2026 | ACTIVE
r5.uz | 27-Jul-2026 | ACTIVE
r6.uz | 27-Jul-2026 | ACTIVE
r7.uz | 30-Sep-2031 | ACTIVE
r8.uz | 24-Apr-2027 | ACTIVE
r9.uz | 27-Jul-2026 | ACTIVE
sa.uz | 19-Feb-2026 | ACTIVE
sb.uz | 04-Jun-2026 | ACTIVE
sc.uz | 30-May-2026 | ACTIVE
sd.uz | 01-Nov-2026 | ACTIVE
se.uz | 04-Jul-2026 | ACTIVE
sf.uz | 07-Sep-2026 | ACTIVE
sg.uz | 01-Oct-2026 | ACTIVE
sh.uz | 20-Oct-2026 | ACTIVE
si.uz | 20-Jul-2026 | ACTIVE
sj.uz | 04-Apr-2027 | ACTIVE
sk.uz | 17-Oct-2026 | ACTIVE
sl.uz | 17-Jan-2027 | ACTIVE
sm.uz | 11-Jul-2026 | ACTIVE
sn.uz | 31-Oct-2026 | ACTIVE
so.uz | 30-Jan-2027 | ACTIVE
sp.uz | 19-Mar-2028 | ACTIVE
sq.uz | 21-Jul-2026 | ACTIVE
sr.uz | 15-Mar-2026 | ACTIVE
ss.uz | 20-Apr-2026 | ACTIVE
st.uz | 28-Mar-2026 | ACTIVE
su.uz | 17-Jun-2026 | ACTIVE
sv.uz | 05-Jun-2026 | ACTIVE
sw.uz | 07-Sep-2026 | ACTIVE
sx.uz | 23-Dec-2026 | ACTIVE
sy.uz | 31-Jan-2027 | ACTIVE
sz.uz | 09-Jul-2026 | ACTIVE
s0.uz | 27-Jul-2026 | ACTIVE
s1.uz | 30-Jul-2027 | ACTIVE
s2.uz | 09-May-2030 | ACTIVE
s3.uz | 15-Aug-2026 | ACTIVE
s4.uz | 15-Aug-2026 | ACTIVE
s5.uz | 03-Apr-2026 | ACTIVE
s6.uz | 13-Nov-2026 | ACTIVE
s7.uz | 20-Nov-2026 | ACTIVE
s8.uz | 13-Nov-2026 | ACTIVE
s9.uz | 15-Aug-2026 | ACTIVE
ta.uz | 27-Oct-2026 | ACTIVE
tb.uz | 27-Sep-2026 | ACTIVE
tc.uz | 30-Mar-2030 | ACTIVE
td.uz | 14-May-2027 | ACTIVE
te.uz | 12-Aug-2026 | ACTIVE
tf.uz | 02-Feb-2027 | ACTIVE
tg.uz | 23-Jun-2033 | ACTIVE
th.uz | 07-Sep-2026 | ACTIVE
ti.uz | 26-Dec-2026 | ACTIVE
tj.uz | 26-May-2026 | ACTIVE
tk.uz | 28-May-2026 | ACTIVE
tl.uz | 06-Aug-2026 | ACTIVE
tm.uz | 27-Mar-2029 | ACTIVE
tn.uz | 29-Apr-2034 | ACTIVE
to.uz | 04-Jan-2027 | ACTIVE
tp.uz | 03-Dec-2026 | ACTIVE
tq.uz | 08-Apr-2029 | ACTIVE
tr.uz | 26-May-2026 | ACTIVE
ts.uz | 29-Sep-2026 | ACTIVE
tt.uz | 13-Jan-2034 | ACTIVE
tu.uz | 02-Nov-2026 | ACTIVE
tv.uz | 19-Mar-2028 | ACTIVE
tw.uz | 12-May-2026 | ACTIVE
tx.uz | 21-Jul-2026 | ACTIVE
ty.uz | 27-Dec-2026 | ACTIVE
tz.uz | 08-Oct-2026 | ACTIVE
t0.uz | 27-Jul-2026 | ACTIVE
t1.uz | 02-Oct-2028 | ACTIVE
t2.uz | 25-Nov-2026 | ACTIVE
t3.uz | 27-Jul-2026 | ACTIVE
t4.uz | 27-Jul-2026 | ACTIVE
t5.uz | 20-Feb-2027 | ACTIVE
t6.uz | 27-Jul-2026 | ACTIVE
t7.uz | 12-Dec-2026 | ACTIVE
t8.uz | 27-Jul-2026 | ACTIVE
t9.uz | 01-Feb-2027 | ACTIVE
ua.uz | 02-Dec-2030 | ACTIVE
ub.uz | 05-Dec-2026 | ACTIVE
uc.uz | 19-Oct-2026 | ACTIVE
ud.uz | 10-Jul-2026 | ACTIVE
ue.uz | 30-Jun-2026 | ACTIVE
uf.uz | 29-Aug-2026 | ACTIVE
ug.uz | 09-Jul-2026 | ACTIVE
uh.uz | 08-Oct-2026 | ACTIVE
ui.uz | 07-Oct-2026 | ACTIVE
uj.uz | 15-Apr-2030 | ACTIVE
uk.uz | 13-Jul-2026 | ACTIVE
ul.uz | 08-Oct-2026 | ACTIVE
um.uz | - | RESERVED
un.uz | Noma'lum | Noma'lum
uo.uz | 09-Jul-2026 | ACTIVE
up.uz | 14-Dec-2026 | ACTIVE
uq.uz | 21-Jul-2026 | ACTIVE
ur.uz | 09-Jul-2026 | ACTIVE
us.uz | 09-Jul-2027 | ACTIVE
ut.uz | 17-Dec-2030 | ACTIVE
uu.uz | 30-Dec-2026 | ACTIVE
uv.uz | 09-Jul-2026 | ACTIVE
uw.uz | 14-Jun-2026 | ACTIVE
ux.uz | 05-Feb-2027 | ACTIVE
uy.uz | 19-Mar-2028 | ACTIVE
uz.uz | 24-Feb-2027 | ACTIVE
u0.uz | 27-Jul-2026 | ACTIVE
u1.uz | 27-Feb-2026 | ACTIVE
u2.uz | 08-Oct-2026 | ACTIVE
u3.uz | 27-Jul-2026 | ACTIVE
u4.uz | 27-Jul-2026 | ACTIVE
u5.uz | 27-Jul-2026 | ACTIVE
u6.uz | 27-Jul-2026 | ACTIVE
u7.uz | 18-May-2030 | ACTIVE
u8.uz | 27-Jul-2026 | ACTIVE
u9.uz | 27-Jul-2026 | ACTIVE
va.uz | 09-Jul-2026 | ACTIVE
vb.uz | 08-Feb-2029 | ACTIVE
vc.uz | 01-Feb-2034 | ACTIVE
vd.uz | 15-Mar-2026 | ACTIVE
ve.uz | 21-Jul-2026 | ACTIVE
vf.uz | 09-Jul-2026 | ACTIVE
vg.uz | 09-Jul-2026 | ACTIVE
vh.uz | 28-Sep-2026 | ACTIVE
vi.uz | 09-Jul-2026 | ACTIVE
vj.uz | 09-Jul-2026 | ACTIVE
vk.uz | 10-Jun-2035 | ACTIVE
vl.uz | 09-Jul-2026 | ACTIVE
vm.uz | 03-Mar-2026 | ACTIVE
vn.uz | 08-Sep-2033 | ACTIVE
vo.uz | 09-Apr-2026 | ACTIVE
vp.uz | 25-Feb-2027 | ACTIVE
vq.uz | 07-Sep-2026 | ACTIVE
vr.uz | 30-Sep-2026 | ACTIVE
vs.uz | 25-Dec-2033 | ACTIVE
vt.uz | 24-Jul-2029 | ACTIVE
vu.uz | 21-Nov-2026 | ACTIVE
vv.uz | 30-Dec-2026 | ACTIVE
vw.uz | 19-Oct-2026 | ACTIVE
vx.uz | 04-Jul-2026 | ACTIVE
vy.uz | 06-Aug-2026 | ACTIVE
vz.uz | 12-Aug-2026 | ACTIVE
v0.uz | 27-Jul-2026 | ACTIVE
v1.uz | 14-Oct-2026 | ACTIVE
v2.uz | 18-Jan-2026 | REDEMPTION PERIOD
v3.uz | 21-Dec-2026 | ACTIVE
v4.uz | 27-Jul-2026 | ACTIVE
v5.uz | 11-Feb-2027 | ACTIVE
v6.uz | - | RESERVED
v7.uz | 13-Oct-2029 | ACTIVE
v8.uz | 12-Jan-2027 | ACTIVE
v9.uz | 12-Jan-2027 | ACTIVE
wa.uz | 25-Apr-2026 | ACTIVE
wb.uz | 30-Jun-2026 | ACTIVE
wc.uz | 20-Apr-2026 | ACTIVE
wd.uz | 29-Aug-2026 | ACTIVE
we.uz | 23-Nov-2026 | ACTIVE
wf.uz | 24-Mar-2026 | ACTIVE
wg.uz | 25-Oct-2027 | ACTIVE
wh.uz | - | RESERVED
wi.uz | 09-Jul-2026 | ACTIVE
wj.uz | 20-Apr-2026 | ACTIVE
wk.uz | 09-Jul-2026 | ACTIVE
wl.uz | 09-Jul-2026 | ACTIVE
wm.uz | 16-Mar-2027 | ACTIVE
wn.uz | 30-Mar-2033 | ACTIVE
wo.uz | 06-Aug-2026 | ACTIVE
wp.uz | 07-Feb-2030 | ACTIVE
wq.uz | 17-Aug-2026 | ACTIVE
wr.uz | 09-Jul-2026 | ACTIVE
ws.uz | 27-Feb-2028 | ACTIVE
wt.uz | 04-Jun-2026 | ACTIVE
wu.uz | 14-Sep-2026 | ACTIVE
wv.uz | 09-Jul-2026 | ACTIVE
ww.uz | 13-Nov-2026 | ACTIVE
wx.uz | 21-Jul-2026 | ACTIVE
wy.uz | 09-Jul-2026 | ACTIVE
wz.uz | 09-Jul-2026 | ACTIVE
w0.uz | 27-Jul-2026 | ACTIVE
w1.uz | 28-Nov-2026 | ACTIVE
w2.uz | 28-Nov-2026 | ACTIVE
w3.uz | - | RESERVED
w4.uz | 16-Aug-2026 | ACTIVE
w5.uz | 16-Aug-2026 | ACTIVE
w6.uz | 16-Aug-2026 | ACTIVE
w7.uz | 16-Aug-2026 | ACTIVE
w8.uz | 16-Aug-2026 | ACTIVE
w9.uz | 16-Aug-2026 | ACTIVE
xa.uz | 15-Mar-2030 | ACTIVE
xb.uz | 17-Jun-2026 | ACTIVE
xc.uz | 21-Jul-2026 | ACTIVE
xd.uz | 21-Jul-2028 | ACTIVE
xe.uz | 09-Jul-2026 | ACTIVE
xf.uz | 09-Jul-2026 | ACTIVE
xg.uz | 21-Jul-2026 | ACTIVE
xh.uz | 09-Jul-2026 | ACTIVE
xi.uz | 20-Apr-2030 | ACTIVE
xj.uz | 15-Feb-2027 | ACTIVE
xk.uz | 09-Jul-2026 | ACTIVE
xl.uz | 30-Dec-2026 | ACTIVE
xm.uz | 09-Jul-2026 | ACTIVE
xn.uz | 09-Jul-2026 | ACTIVE
xo.uz | 09-Apr-2035 | ACTIVE
xp.uz | 11-May-2026 | ACTIVE
xq.uz | 21-Jul-2026 | ACTIVE
xr.uz | 09-Jul-2026 | ACTIVE
xs.uz | 26-Dec-2032 | ACTIVE
xt.uz | 20-Nov-2026 | ACTIVE
xu.uz | 09-Jul-2026 | ACTIVE
xv.uz | 09-Jul-2026 | ACTIVE
xw.uz | 09-Nov-2026 | ACTIVE
xx.uz | 28-Sep-2030 | ACTIVE
xy.uz | 21-Jul-2026 | ACTIVE
xz.uz | 21-Jul-2026 | ACTIVE
x0.uz | 27-Jul-2026 | ACTIVE
x1.uz | 27-Nov-2026 | ACTIVE
x2.uz | 12-Jul-2026 | ACTIVE
x3.uz | 11-Feb-2029 | ACTIVE
x4.uz | 17-May-2026 | ACTIVE
x5.uz | 27-Jul-2026 | ACTIVE
x6.uz | 27-Jul-2026 | ACTIVE
x7.uz | 22-Aug-2026 | ACTIVE
x8.uz | 07-Apr-2027 | ACTIVE
x9.uz | - | AUCTION
ya.uz | 06-Apr-2026 | ACTIVE
yb.uz | 21-Jul-2026 | ACTIVE
yc.uz | 13-Nov-2026 | ACTIVE
yd.uz | 02-Dec-2035 | ACTIVE
ye.uz | 21-Jul-2026 | ACTIVE
yf.uz | 06-Aug-2026 | ACTIVE
yg.uz | 21-Jul-2026 | ACTIVE
yh.uz | 06-Aug-2026 | ACTIVE
yi.uz | 27-Sep-2026 | ACTIVE
yj.uz | 27-Sep-2026 | ACTIVE
yk.uz | 17-May-2029 | ACTIVE
yl.uz | 06-Aug-2026 | ACTIVE
ym.uz | 21-Jan-2027 | ACTIVE
yn.uz | 14-Dec-2026 | ACTIVE
yo.uz | 09-Dec-2026 | ACTIVE
yp.uz | 28-Jun-2033 | ACTIVE
yq.uz | 07-Sep-2026 | ACTIVE
yr.uz | 06-Aug-2026 | ACTIVE
ys.uz | 09-Mar-2026 | ACTIVE
yt.uz | 02-Dec-2026 | ACTIVE
yu.uz | 21-Jul-2026 | ACTIVE
yv.uz | 06-Aug-2026 | ACTIVE
yw.uz | 06-Aug-2026 | ACTIVE
yx.uz | 21-Jul-2026 | ACTIVE
yy.uz | 08-Oct-2026 | ACTIVE
yz.uz | 31-Mar-2027 | ACTIVE
y0.uz | 27-Jul-2026 | ACTIVE
y1.uz | 27-Jul-2026 | ACTIVE
y2.uz | 27-Jul-2026 | ACTIVE
y3.uz | 03-May-2027 | ACTIVE
y4.uz | 27-Jul-2026 | ACTIVE
y5.uz | 27-Jul-2026 | ACTIVE
y6.uz | 27-Jul-2026 | ACTIVE
y7.uz | 31-May-2031 | ACTIVE
y8.uz | 27-Jul-2026 | ACTIVE
y9.uz | 27-Jul-2026 | ACTIVE
za.uz | 09-Jul-2026 | ACTIVE
zb.uz | 09-Jul-2026 | ACTIVE
zc.uz | 09-Jul-2026 | ACTIVE
zd.uz | 24-Apr-2030 | ACTIVE
ze.uz | 09-Jul-2026 | ACTIVE
zf.uz | 25-Jan-2027 | ACTIVE
zg.uz | - | RESERVED
zh.uz | 09-Jul-2026 | ACTIVE
zi.uz | 08-Oct-2026 | ACTIVE
zj.uz | 09-Jul-2026 | ACTIVE
zk.uz | 22-Aug-2026 | ACTIVE
zl.uz | 09-Jul-2026 | ACTIVE
zm.uz | 23-Jul-2026 | ACTIVE
zn.uz | - | RESERVED
zo.uz | 30-Oct-2026 | ACTIVE
zp.uz | 03-Jun-2026 | ACTIVE
zq.uz | 27-Sep-2026 | ACTIVE
zr.uz | 07-Jun-2026 | ACTIVE
zs.uz | 12-Dec-2026 | ACTIVE
zt.uz | 24-Dec-2034 | ACTIVE
zu.uz | 01-Mar-2034 | ACTIVE
zv.uz | 09-Jul-2026 | ACTIVE
zw.uz | 09-Jul-2026 | ACTIVE
zx.uz | 09-Jul-2026 | ACTIVE
zy.uz | - | RESERVED
zz.uz | 30-Dec-2026 | ACTIVE
z0.uz | 12-Jul-2026 | ACTIVE
z1.uz | 27-Oct-2026 | ACTIVE
z2.uz | 14-Feb-2027 | ACTIVE
z3.uz | 16-Feb-2027 | ACTIVE
z4.uz | 03-Jan-2027 | ACTIVE
z5.uz | 11-Feb-2027 | ACTIVE
z6.uz | 27-Jul-2026 | ACTIVE
z7.uz | 31-May-2026 | ACTIVE
z8.uz | 27-Jul-2026 | ACTIVE
z9.uz | 27-Jul-2026 | ACTIVE
0a.uz | 27-Jul-2026 | ACTIVE
0b.uz | 27-Jul-2026 | ACTIVE
0c.uz | 27-Jul-2026 | ACTIVE
0d.uz | 28-Jun-2028 | ACTIVE
0e.uz | 27-Jul-2026 | ACTIVE
0f.uz | 27-Jul-2026 | ACTIVE
0g.uz | 27-Jul-2026 | ACTIVE
0h.uz | 27-Jul-2026 | ACTIVE
0i.uz | 27-Jul-2026 | ACTIVE
0j.uz | 27-Jul-2026 | ACTIVE
0k.uz | 27-Jul-2026 | ACTIVE
0l.uz | 27-Nov-2026 | ACTIVE
0m.uz | 27-Jul-2026 | ACTIVE
0n.uz | 27-Jul-2026 | ACTIVE
0o.uz | 27-Jul-2026 | ACTIVE
0p.uz | 27-Jul-2026 | ACTIVE
0q.uz | 27-Jul-2026 | ACTIVE
0r.uz | 27-Jul-2026 | ACTIVE
0s.uz | 27-Jul-2026 | ACTIVE
0t.uz | 27-Jul-2026 | ACTIVE
0u.uz | 27-Jul-2026 | ACTIVE
0v.uz | 26-Jul-2026 | ACTIVE
0w.uz | 03-Jun-2026 | ACTIVE
0x.uz | 09-Jan-2027 | ACTIVE
0y.uz | 26-Jul-2026 | ACTIVE
0z.uz | 14-Aug-2026 | ACTIVE
00.uz | 09-Sep-2026 | ACTIVE
01.uz | 25-Mar-2026 | ACTIVE
02.uz | 16-Aug-2035 | ACTIVE
03.uz | 13-Sep-2026 | ACTIVE
04.uz | 28-Jan-2034 | ACTIVE
05.uz | 07-Jan-2027 | ACTIVE
06.uz | 01-Apr-2034 | ACTIVE
07.uz | 09-Dec-2026 | ACTIVE
08.uz | 19-May-2026 | ACTIVE
09.uz | 14-Nov-2026 | ACTIVE
1a.uz | 15-Feb-2027 | ACTIVE
1b.uz | 01-Mar-2027 | ACTIVE
1c.uz | 27-Aug-2030 | ACTIVE
1d.uz | 08-Feb-2027 | ACTIVE
1e.uz | 02-May-2026 | ACTIVE
1f.uz | 27-Feb-2028 | ACTIVE
1g.uz | 02-May-2026 | ACTIVE
1h.uz | 24-May-2026 | ACTIVE
1i.uz | 05-Mar-2032 | ACTIVE
1j.uz | 02-May-2026 | ACTIVE
1k.uz | 29-Mar-2026 | ACTIVE
1l.uz | 11-Apr-2026 | ACTIVE
1m.uz | 28-Jan-2027 | ACTIVE
1n.uz | 27-Feb-2028 | ACTIVE
1o.uz | 02-May-2026 | ACTIVE
1p.uz | 02-May-2026 | ACTIVE
1q.uz | 07-Mar-2028 | ACTIVE
1r.uz | 04-Apr-2026 | ACTIVE
1s.uz | 26-May-2027 | ACTIVE
1t.uz | 27-Feb-2028 | ACTIVE
1u.uz | 27-Jul-2026 | ACTIVE
1v.uz | 15-Mar-2027 | ACTIVE
1w.uz | 11-Apr-2026 | ACTIVE
1x.uz | 28-Mar-2028 | ACTIVE
1y.uz | 26-Jul-2026 | ACTIVE
1z.uz | 21-Aug-2026 | ACTIVE
10.uz | 07-May-2032 | ACTIVE
11.uz | 14-Oct-2026 | ACTIVE
12.uz | 07-Dec-2026 | ACTIVE
13.uz | 16-Jun-2034 | ACTIVE
14.uz | 20-Jan-2027 | ACTIVE
15.uz | 19-May-2026 | ACTIVE
16.uz | 02-Feb-2027 | ACTIVE
17.uz | 23-Mar-2026 | ACTIVE
18.uz | 24-May-2026 | ACTIVE
19.uz | 11-Mar-2027 | ACTIVE
2a.uz | 27-Jul-2026 | ACTIVE
2b.uz | 21-Apr-2027 | ACTIVE
2c.uz | 11-Oct-2026 | ACTIVE
2d.uz | 15-May-2026 | ACTIVE
2e.uz | 30-Aug-2026 | ACTIVE
2f.uz | 17-Jun-2033 | ACTIVE
2g.uz | 27-Jul-2026 | ACTIVE
2h.uz | 27-Jul-2026 | ACTIVE
2i.uz | 27-Jul-2026 | ACTIVE
2j.uz | 27-Jul-2026 | ACTIVE
2k.uz | 11-Oct-2031 | ACTIVE
2l.uz | 19-Jul-2026 | ACTIVE
2m.uz | 27-Jul-2026 | ACTIVE
2n.uz | 27-Jul-2026 | ACTIVE
2o.uz | 27-Jul-2026 | ACTIVE
2p.uz | 27-Jul-2026 | ACTIVE
2q.uz | 27-Jul-2026 | ACTIVE
2r.uz | 27-Jul-2026 | ACTIVE
2s.uz | 07-Feb-2027 | ACTIVE
2t.uz | 01-Aug-2026 | ACTIVE
2u.uz | 15-Nov-2026 | ACTIVE
2v.uz | 27-Jul-2026 | ACTIVE
2w.uz | 22-Oct-2027 | ACTIVE
2x.uz | 15-Jul-2026 | ACTIVE
2y.uz | 15-Jul-2026 | ACTIVE
2z.uz | 30-Jun-2026 | ACTIVE
20.uz | 11-Mar-2034 | ACTIVE
21.uz | 21-May-2026 | ACTIVE
22.uz | 24-Jul-2026 | ACTIVE
23.uz | 18-May-2026 | ACTIVE
24.uz | 05-Sep-2026 | ACTIVE
25.uz | 16-Jul-2026 | ACTIVE
26.uz | 11-Apr-2027 | ACTIVE
27.uz | 23-Mar-2026 | ACTIVE
28.uz | 04-Apr-2026 | ACTIVE
29.uz | 31-Jan-2027 | ACTIVE
3a.uz | 28-Jan-2027 | ACTIVE
3b.uz | 27-Jul-2026 | ACTIVE
3c.uz | 27-Jul-2026 | ACTIVE
3d.uz | 28-Jan-2031 | ACTIVE
3e.uz | 27-Jul-2026 | ACTIVE
3f.uz | 27-Jul-2026 | ACTIVE
3g.uz | 15-Feb-2027 | ACTIVE
3h.uz | 27-Jul-2026 | ACTIVE
3i.uz | 27-Jul-2026 | ACTIVE
3j.uz | 27-Jul-2026 | ACTIVE
3k.uz | 23-Mar-2026 | ACTIVE
3l.uz | 27-Jul-2026 | ACTIVE
3m.uz | 06-Jun-2026 | ACTIVE
3n.uz | 27-Jul-2026 | ACTIVE
3o.uz | 27-Jul-2026 | ACTIVE
3p.uz | 27-Jul-2026 | ACTIVE
3q.uz | 27-Jul-2026 | ACTIVE
3r.uz | 27-Jul-2026 | ACTIVE
3s.uz | 17-Feb-2026 | ACTIVE
3t.uz | 29-Apr-2027 | ACTIVE
3u.uz | 27-Jul-2026 | ACTIVE
3v.uz | 27-Jul-2026 | ACTIVE
3w.uz | - | RESERVED
3x.uz | 26-Jul-2026 | ACTIVE
3y.uz | 26-Jul-2026 | ACTIVE
3z.uz | 26-Jul-2026 | ACTIVE
30.uz | 12-Jul-2026 | ACTIVE
31.uz | 07-Apr-2026 | ACTIVE
32.uz | 25-Dec-2032 | ACTIVE
33.uz | 17-Aug-2026 | ACTIVE
34.uz | 18-May-2026 | ACTIVE
35.uz | 07-Apr-2026 | ACTIVE
36.uz | 04-Apr-2026 | ACTIVE
37.uz | 20-May-2027 | ACTIVE
38.uz | 07-Apr-2026 | ACTIVE
39.uz | 07-Apr-2026 | ACTIVE
4a.uz | 23-Jun-2026 | ACTIVE
4b.uz | 27-Jul-2026 | ACTIVE
4c.uz | 27-Jul-2026 | ACTIVE
4d.uz | 14-Nov-2026 | ACTIVE
4e.uz | 27-Jul-2026 | ACTIVE
4f.uz | 27-Jul-2026 | ACTIVE
4g.uz | 16-Dec-2027 | ACTIVE
4h.uz | 27-Jul-2026 | ACTIVE
4i.uz | 27-Jul-2026 | ACTIVE
4j.uz | 27-Jul-2026 | ACTIVE
4k.uz | 05-Nov-2027 | ACTIVE
4l.uz | 27-Jul-2026 | ACTIVE
4m.uz | 13-Sep-2033 | ACTIVE
4n.uz | 27-Jul-2026 | ACTIVE
4o.uz | 27-Jul-2026 | ACTIVE
4p.uz | 27-Jul-2026 | ACTIVE
4q.uz | 27-Jul-2026 | ACTIVE
4r.uz | 27-Jul-2026 | ACTIVE
4s.uz | 16-Sep-2026 | ACTIVE
4t.uz | 25-Feb-2026 | ACTIVE
4u.uz | 02-Nov-2035 | ACTIVE
4v.uz | 27-Jul-2026 | ACTIVE
4w.uz | 04-Feb-2026 | EXPIRED
4x.uz | 26-Jul-2026 | ACTIVE
4y.uz | 26-Jul-2026 | ACTIVE
4z.uz | 28-Apr-2026 | ACTIVE
40.uz | 20-Dec-2026 | ACTIVE
41.uz | 20-Jan-2027 | ACTIVE
42.uz | 28-Sep-2033 | ACTIVE
43.uz | 07-Apr-2026 | ACTIVE
44.uz | 21-Aug-2026 | ACTIVE
45.uz | 04-Jun-2026 | ACTIVE
46.uz | 07-Apr-2026 | ACTIVE
47.uz | 12-Jul-2026 | ACTIVE
48.uz | 07-Apr-2026 | ACTIVE
49.uz | 03-Jul-2033 | ACTIVE
5a.uz | 27-Jul-2026 | ACTIVE
5b.uz | 27-Jul-2026 | ACTIVE
5c.uz | 27-Jul-2026 | ACTIVE
5d.uz | 22-Jul-2026 | ACTIVE
5e.uz | 27-Jul-2026 | ACTIVE
5f.uz | 21-Aug-2026 | ACTIVE
5g.uz | 24-Feb-2027 | ACTIVE
5h.uz | 27-Jul-2026 | ACTIVE
5i.uz | 27-Jul-2026 | ACTIVE
5j.uz | 27-Jul-2026 | ACTIVE
5k.uz | 12-Jul-2027 | ACTIVE
5l.uz | 27-Jul-2026 | ACTIVE
5m.uz | 27-Jul-2026 | ACTIVE
5n.uz | 27-Jul-2026 | ACTIVE
5o.uz | 27-Jul-2026 | ACTIVE
5p.uz | 27-Jul-2026 | ACTIVE
5q.uz | 27-Jul-2026 | ACTIVE
5r.uz | 27-Jul-2026 | ACTIVE
5s.uz | 27-Jul-2026 | ACTIVE
5t.uz | 05-Oct-2030 | ACTIVE
5u.uz | 27-Jul-2026 | ACTIVE
5v.uz | 27-Jul-2026 | ACTIVE
5w.uz | 18-May-2026 | ACTIVE
5x.uz | 20-Sep-2026 | ACTIVE
5y.uz | 26-Jul-2026 | ACTIVE
5z.uz | 26-Jul-2026 | ACTIVE
50.uz | 20-Nov-2026 | ACTIVE
51.uz | 07-Apr-2026 | ACTIVE
52.uz | 07-Apr-2026 | ACTIVE
53.uz | 07-Apr-2026 | ACTIVE
54.uz | 03-Feb-2027 | ACTIVE
55.uz | 09-Apr-2026 | ACTIVE
56.uz | 07-Apr-2026 | ACTIVE
57.uz | 07-Apr-2026 | ACTIVE
58.uz | 28-Jan-2027 | ACTIVE
59.uz | 20-Jan-2027 | ACTIVE
6a.uz | 27-Jul-2026 | ACTIVE
6b.uz | 27-Jul-2026 | ACTIVE
6c.uz | 27-Jul-2026 | ACTIVE
6d.uz | 27-Jul-2026 | ACTIVE
6e.uz | 27-Jul-2026 | ACTIVE
6f.uz | 27-Jul-2026 | ACTIVE
6g.uz | 24-Feb-2027 | ACTIVE
6h.uz | 27-Jul-2026 | ACTIVE
6i.uz | 27-Jul-2026 | ACTIVE
6j.uz | 27-Jul-2026 | ACTIVE
6k.uz | 12-Jul-2026 | ACTIVE
6l.uz | 27-Jul-2026 | ACTIVE
6m.uz | 27-Jul-2026 | ACTIVE
6n.uz | 27-Jul-2026 | ACTIVE
6o.uz | 27-Jul-2026 | ACTIVE
6p.uz | 27-Jul-2026 | ACTIVE
6q.uz | 27-Jul-2026 | ACTIVE
6r.uz | 27-Jul-2026 | ACTIVE
6s.uz | 12-Jan-2027 | ACTIVE
6t.uz | 27-Jul-2026 | ACTIVE
6u.uz | 27-Jul-2026 | ACTIVE
6v.uz | 27-Jul-2026 | ACTIVE
6w.uz | 26-Jul-2026 | ACTIVE
6x.uz | 26-Jul-2026 | ACTIVE
6y.uz | 26-Jul-2026 | ACTIVE
6z.uz | 26-Jul-2026 | ACTIVE
60.uz | 20-Dec-2026 | ACTIVE
61.uz | 07-Apr-2026 | ACTIVE
62.uz | 07-Apr-2026 | ACTIVE
